Support,Confidence,Coverage,Strength,Lift,Leverage,Antecedent,Consequent
continuous,continuous,continuous,continuous,continuous,continuous,string,string
,,,,,,meta,meta
0.543,1.0,0.543,1.503,1.226,0.1,"onehot_fromage=0, onehot_viande=1, onehot_poisson=0",onehot_vege=0
0.543,0.827,0.656,1.243,1.014,0.007,"onehot_viande=1, onehot_poisson=0","onehot_fromage=0, onehot_vege=0"
0.543,0.683,0.794,0.71,1.211,0.095,"onehot_fromage=0, onehot_viande=1","onehot_poisson=0, onehot_vege=0"
0.543,0.594,0.914,0.617,1.052,0.027,onehot_viande=1,"onehot_fromage=0, onehot_poisson=0, onehot_vege=0"
0.537,0.926,0.58,1.407,1.135,0.064,"Végé=0, onehot_saladefeculents=0, onehot_viande=1",onehot_fromage=0
0.537,0.845,0.635,1.232,1.081,0.04,"onehot_saladefeculents=0, onehot_viande=1","Végé=0, onehot_fromage=0"
0.537,0.703,0.764,0.936,0.983,-0.009,"Végé=0, onehot_fromage=0, onehot_viande=1",onehot_saladefeculents=0
0.537,0.643,0.834,0.702,1.098,0.048,"Végé=0, onehot_viande=1","onehot_fromage=0, onehot_saladefeculents=0"
0.537,0.587,0.914,0.607,1.058,0.029,onehot_viande=1,"Végé=0, onehot_fromage=0, onehot_saladefeculents=0"
0.537,0.676,0.794,0.795,1.069,0.035,"onehot_fromage=0, onehot_viande=1","Végé=0, onehot_saladefeculents=0"
0.537,0.951,0.564,1.576,1.069,0.035,"onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1",Végé=0
0.537,0.703,0.764,0.936,0.983,-0.009,"Végé=0, onehot_viande=1, onehot_vege=0",onehot_saladefeculents=0
0.537,0.676,0.794,0.795,1.069,0.035,"onehot_viande=1, onehot_vege=0","Végé=0, onehot_saladefeculents=0"
0.537,0.926,0.58,1.407,1.135,0.064,"Végé=0, onehot_saladefeculents=0, onehot_viande=1",onehot_vege=0
0.537,0.643,0.834,0.702,1.098,0.048,"Végé=0, onehot_viande=1","onehot_saladefeculents=0, onehot_vege=0"
0.537,0.587,0.914,0.607,1.058,0.029,onehot_viande=1,"Végé=0, onehot_saladefeculents=0, onehot_vege=0"
0.537,0.845,0.635,1.232,1.081,0.04,"onehot_saladefeculents=0, onehot_viande=1","Végé=0, onehot_vege=0"
0.537,0.951,0.564,1.576,1.069,0.035,"onehot_saladefeculents=0, onehot_viande=1, onehot_vege=0",Végé=0
0.537,1.0,0.537,1.52,1.226,0.099,"Végé=0, onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1",onehot_vege=0
0.537,0.926,0.58,1.407,1.135,0.064,"Végé=0, onehot_saladefeculents=0, onehot_viande=1","onehot_fromage=0, onehot_vege=0"
0.537,0.845,0.635,1.232,1.081,0.04,"onehot_saladefeculents=0, onehot_viande=1","Végé=0, onehot_fromage=0, onehot_vege=0"
0.537,0.703,0.764,0.767,1.2,0.089,"Végé=0, onehot_fromage=0, onehot_viande=1","onehot_saladefeculents=0, onehot_vege=0"
0.537,0.643,0.834,0.702,1.098,0.048,"Végé=0, onehot_viande=1","onehot_fromage=0, onehot_saladefeculents=0, onehot_vege=0"
0.537,0.587,0.914,0.607,1.058,0.029,onehot_viande=1,"Végé=0, onehot_fromage=0, onehot_saladefeculents=0, onehot_vege=0"
0.537,0.676,0.794,0.699,1.217,0.096,"onehot_fromage=0, onehot_viande=1","Végé=0, onehot_saladefeculents=0, onehot_vege=0"
0.537,0.951,0.564,1.386,1.216,0.095,"onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1","Végé=0, onehot_vege=0"
0.537,0.951,0.564,1.576,1.069,0.035,"onehot_fromage=0, onehot_saladefeculents=0, onehot_viande=1, onehot_vege=0",Végé=0
