N° Formulaire;Genre;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;
0B8S;M;19;1,8;65;20,0617284;Modérée;Oui;Non;Tous les jours ou presque;Très attention;Groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, très faim;Non;2;3P8D;;;;;
3P8D;M;20;1,75;68;22,20408163;Importante;Non;Non;Tous les jours ou presque;Moyennement ;Seule;1;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Oui, très;2;0B8S;;;;;
0N9G;M;21;1,75;60;19,59183673;Modérée;Oui;Oui;Tous les jours ou presque;Moyennement ;Groupe;4;Non;Non;Non;Pas influencé;Très influencé;Non, je ne pense pas;Oui, très faim;Oui, très;;;;;;;
2Y5X;M;24;1,9;100;27,70083102;Modérée;Non;Non;Tous les jours ou presque;Un peu;Groupe ;4;Non;Non;Non;Peu influencé;Très influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;;;;;;;
2H3W;M;25;1,73;65;21,71806609;Modérée;Oui;Non;Tous les jours ou presque;Moyennement ;Groupe;4;Non;Non;Non;;Très influencé;Non, je ne pense pas;Oui, très faim;Oui, très;;;;;;;
0P1I;M;25;1,78;74;23,35563691;Faible;Non;Non;Tous les jours ou presque;Un peu;Groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, très faim;Oui, très ;2;6W4Y;;;;;
6W4Y;F;21;1,6;49;19,140625;Faible;Non;Non;Au moins 1 fois par semaine;Moyennement ;Groupe ;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Plutôt oui;Oui, assez faim;Plutôt oui;2;0P1I;;;;;
4S9Z;M;22;1,89;85;23,79552644;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement ;Groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, mais très peu;Plutôt oui;;;;;;;
2Y2Q;M;18;1,87;84;24,02127599;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement ;Seule;1;Non;Non;Non;;;;;;;;;;;;
2U8V;M;21;1,84;80;23,6294896;Importante;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, mais très peu;Plutôt oui;;;;;;;
3Y9M;M;22;1,8;80;24,69135802;Importante;Non;Non;Tous les jours ou presque;Pas du tout;Groupe;12;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, très faim;Plutôt oui;;;;;;;
1D1I;M;22;1,8;60;18,51851852;Faible;Non;Non;Tous les jours ou presque;Un peu;Seule;1;Oui;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Non;Non;;;;;;;
0R4X;M;20;1,85;67;19,57633309;Faible;Non;Non;Tous les jours ou presque;Un peu;Groupe;6;Oui;Oui;Oui;Pas influencé;Très influencé;Non, pas trop;Oui, assez faim;Plutôt non;6;4A1V;6U3B;8B8H;2L2Z;8W4Q;
5L2C;M;22;1,8;70;21,60493827;Importante;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;8;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Oui, tout à fait;Oui, très faim;Non;5;3H8D;9J2Z;1O2H;1G3P;;
1G3P;M;19;1,82;70;21,13271344;Modérée;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;9;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, mais très peu;Plutôt non;5;1O2H;3H8D;9J2Z;5L2C;;
