;Horodateur;Numéro de formulaire ;PLAT_1;PLAT_2;PLAT_3;ENTREE_1;ENTREE_2;DESSERT_1;DESSERT_2;DESSERT_3
114; 13:12:31  ;6O4Y;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtnaturesucré;pommegolden;kiwi
115; 13:12:52  ;0A4U;boeufbourguignon;torsades;;saladelentilles;;yaourtnaturesucré;fromageblancfruitsrouges;
116; 13:13:28  ;6U1H;boeufbourguignon;torsades;;pasdentrée;;pasdedessert;;
117; 13:14:12  ;1L0F;risottocourgettes;;;saladelentilles;;faissellenature;;
118; 13:14:25  ;4T9L;kebab;frites;;artichauts;;pommegolden;;
119; 13:14:51  ;5W4J;feuilletésaumonoseille;torsades;;pasdentrée;;faissellenature;;
120; 13:15:23  ;1P5N;feuilletésaumonoseille;torsades;;pasdentrée;;fromageblancfruitsrouges;;
121; 13:15:46  ;6Z9V;feuilletésaumonoseille;torsades;;pasdentrée;;fromageblancfruitsrouges;pommegolden;kiwi
122; 13:16:11  ;2G3P;boeufbourguignon;torsades;;pasdentrée;;fromageblancfruitsrouges;;
123; 13:16:22  ;1Y1C;boeufbourguignon;torsades;;pasdentrée;;yaourtnaturesucré;fromageblancfruitsrouges;
124; 13:16:47  ;0R7V;feuilletésaumonoseille;torsades;poeléebrocolis;chouxblancàlajaponaise;;faissellenature;fromageblancfruitsrouges;
125; 13:16:57  ;7P8D;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;faissellenature;pommegolden;
126; 13:17:12  ;1T9W;feuilletésaumonoseille;torsades;poeléebrocolis;pasdentrée;;fromageblancfruitsrouges;pommegolden;
127; 13:17:30  ;1W6X;feuilletésaumonoseille;torsades;poeléebrocolis;pasdentrée;;fromageblancfruitsrouges;;
128; 13:17:39  ;5O0Y;boeufbourguignon;torsades;;chouxblancàlajaponaise;;fromageblancfruitsrouges;;
129; 13:18:29  ;3R5P;boeufbourguignon;torsades;poeléebrocolis;tomates;;fromageblancfruitsrouges;;
130; 13:18:57  ;8K4B;feuilletésaumonoseille;torsades;poeléebrocolis;pasdentrée;;fromageblancfruitsrouges;pommegolden;
