,Numéro de formulaire,Genre,Age,Taille,Poids,IMC,Activité physique,Régime particulier,Végé,Fréquence CROUS,Equilibre alim,Seule ou en groupe,Nb groupe entrée,Proximité,Connaissance,Parti groupe,Influ sociale,Percept senso,Nb file,Faim,Stress,Nb convives,Ami 1,Ami 2,Ami 3,Ami 4,Ami 5,Ami 6,Ami 7,Ami 8,Ami 9,Ami 10,Ami 11,Ami 12,Ami 13,Ami 14,Ami 15,Ami 16,Ami 17,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur
53,A67,1.0,,,,,,0.0,,0.0,2,,,,0.0,,1,1.0,,2,,,A68,A69,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladepommedeterre,,,escalopedeporc,pommedeterre,poeleemeridionale,pecheausirop,,,12:32:48 PM
54,A68,1.0,,,,,,0.0,,0.0,4,,,,0.0,,2,3.0,,2,,,A67,A69,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,escalopedeporc,pommedeterre,poeleemeridionale,fruit,,,12:33:26 PM
55,A69,1.0,,,,,,0.0,,0.0,0,,,,1.0,,2,2.0,,3,,,A68,A67,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladepommedeterre,,,escalopedeporc,pommedeterre,poeleemeridionale,pecheausirop,,,12:33:56 PM
56,A63,0.0,,,,,,1.0,,1.0,0,,,,0.0,,1,3.0,,2,,,A64,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladepommedeterre,,,escalopedeporc,pommedeterre,,,,,12:34:08 PM
57,A64,1.0,,,,,,0.0,,2.0,0,,,,0.0,,1,0.0,,2,,,A63,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,,,,,12:34:33 PM
58,A62,1.0,,,,,,,,2.0,3,,,,1.0,,1,2.0,,1,,,A61,A60,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,,,,,,,12:35:09 PM
59,A66,0.0,,,,,,1.0,,0.0,0,,,,0.0,,1,0.0,,3,,,A65,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,,,,12:35:23 PM
60,A57,1.0,,,,,,0.0,,2.0,4,,,,1.0,,1,1.0,,3,,,A56,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,poeleemeridionale,tartechocolat,,,12:36:11 PM
61,A59,1.0,,,,,,0.0,,2.0,4,,,,0.0,,1,0.0,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,,,,12:36:25 PM
62,A61,0.0,,,,,,1.0,,2.0,3,,,,0.0,,1,2.0,,2,,,A62,A60,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,poeleemeridionale,fromage,,,12:36:50 PM
63,A56,0.0,,,,,,1.0,,2.0,3,,,,1.0,,1,2.0,,2,,,A57,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,,yaourt,,,12:37:37 PM
64,A50,1.0,,,,,,0.0,,2.0,2,,,,1.0,,1,1.0,,2,,,A47,A49,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,pommedeterre,,pecheausirop,,,12:38:01 PM
65,A49,1.0,,,,,,0.0,,2.0,2,,,,0.0,,2,1.0,,2,,,A50,A48,A47,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,tartechocolat,,,12:38:30 PM
66,A42,1.0,,,,,,0.0,,1.0,0,,,,0.0,,2,3.0,,2,,,A41,A40,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,yaourt,,,12:39:56 PM
67,A45,0.0,,,,,,1.0,,0.0,2,,,,0.0,,1,2.0,,1,,,A46,A32,A33,A34,A43,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,gnocchispestovege,,,yaourt,,,12:40:36 PM
68,A41,1.0,,,,,,0.0,,2.0,0,,,,,,2,1.0,,2,,,A40,A42,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,yaourt,,,12:40:41 PM
69,A39,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,2.0,,2,,,A29,A38,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,,,yaourt,,,12:41:16 PM
70,A38,0.0,,,,,,0.0,,2.0,4,,,,0.0,,1,3.0,,1,,,A29,A39,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladepommedeterre,,,escalopedeporc,,,fruit,,,12:41:33 PM
71,A32,1.0,,,,,,0.0,,2.0,1,,,,1.0,,1,0.0,,3,,,A33,A34,A35,A43,A45,A46,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,fruit,,,12:41:46 PM
72,A43,1.0,,,,,,0.0,,1.0,4,,,,1.0,,1,3.0,,3,,,A44,A45,A46,A33,A32,A34,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,escalopedeporc,pommedeterre,,yaourt,,,12:41:51 PM
73,A34,0.0,,,,,,0.0,,1.0,4,,,,1.0,,1,2.0,,2,,,A43,A45,A46,A32,A33,A35,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,yaourt,,,12:42:02 PM
74,A33,,,,,,,0.0,,2.0,3,,,,1.0,,2,2.0,,2,,,A32,A33,A34,A43,A46,A45,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,poeleemeridionale,fromage,,,12:42:24 PM
