Unnamed: 0,Numéro de formulaire,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur,Genre,Régime,Fréquentation,Faim,Connaissance entourage,Influence entourage,Influence aspect,Quantité,Equilibre,Aspect,Attente,Convives,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
81,A81,carottes,,,lasagnesvg,,,tartefrboisesananas,,,,,,,,,,,,,,,,,,,,,,
82,A60,,,,burger,,,donut,,,,,,,,,,,,,,,,,,,,,,
83,A56,,,,burger,,,donut,,,,,,,,,,,,,,,,,,,,,,
84,B22,saucisson,,,chipo,semoule,,yaourt,,,,,,,,,,,,,,,,,,,,,,
85,B23,carottes,,,cabillaud,semoule,,fruit,,,12:39,Homme,oui,>3,8.0,non,non,non,5.0,5,5.0,9.0,,,,,,,,
86,B19,,,,lasagnesvg,,,fruit,,,12:53,Homme,oui,>3,3.0,oui,oui,non,0.0,0,0.0,1.0,B20,B16,B17,B27,B32,B18,B28,
87,B35,,,,chipo,semoule,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
88,B37,,,,chipo,semoule,,donut,,,,,,,,,,,,,,,,,,,,,,
89,B39,,,,lasagnesvg,,,fruit,,,13:24,Homme,non,<1,6.0,,non,oui,7.0,4,7.0,2.0,,,,,,,,
90,,saladesoja,,,lasagnesvg,,,fruit,,,,,,,,,,,,,,,,,,,,,,
91,B06,saladesoja,,,chipo,semoule,,fruit,,,,,,,,,,,,,,,,,,,,,,
92,B11,saladesoja,,,chipo,semoule,,fruit,,,12:48,Femme,non,>3,5.0,oui,non,oui,7.0,7,8.0,3.0,B15,B12,B14,B13,B64,,,
93,B27,,,,chipo,semoule,,fruit,,,12:54,Femme,non,<1,7.0,oui,non,oui,7.0,6,5.0,2.0,B17,B32,B18,B19,,,,
94,B07,,,,frites,salade,,,,,,,,,,,,,,,,,,,,,,,,
95,A63,,,,burger,frites,,,,,,,,,,,,,,,,,,,,,,,,
96,B29,,,,chipo,semoule,,moussechocolat,,,12:52,Homme,non,>1,5.0,oui,oui,oui,3.0,4,6.0,7.0,,,,,,,,
97,A64,saladeriz,,,burger,,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
98,A65,saladeriz,,,burger,frites,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
99,B44,,,,lasagnesvg,,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
100,B52,saucisson,,,chipo,semoule,,fruit,,,,,,,,,,,,,,,,,,,,,,
