Unnamed: 0,Horodateur,Numéro de formulaire,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Heure départ,Genre,Regime,Fréquentation,Faim,Connaissances,Influence,Influence aspect,Quantité,Equilibré,Aspect,Convive 1,Convive 2,Convive 3,Convive 4,Convive 5,Convive 6,Convive 7,Convive 8,Unnamed: 27
109,12:53:03 PM,A16,,,,escalopedeporc,pommedeterre,poeleemeridionale,fruit,,,13:26,Homme,non,>3,7.0,oui,non,non,0.0,2.0,8.0,A13,A14,A15,A17,A18,A19,A20,A21,A22
110,12:53:28 PM,A09,,,,tartesaumon,pommedeterre,,fruit,,,13:26,NB,non,1à3,6.0,oui,non,non,5.0,7.0,5.0,A95,,,,,,,,
111,12:53:46 PM,A13,,,,escalopedeporc,pommedeterre,,fruit,,,13:26,Homme,non,>3,6.0,oui,oui,oui,2.0,6.0,9.0,A14,A15,A16,A17,A18,A19,A20,A21,A22
112,12:54:00 PM,A06,,,,tartesaumon,pommedeterre,poeleemeridionale,yaourt,,,13:21,Homme,non,>3,7.0,oui,non,non,9.0,6.0,5.0,A04,A07,A08,,,,,,
113,12:54:02 PM,A03,saladepommedeterre,,,gnocchispestovege,,,yaourt,,,13:33,Homme,non,>3,7.0,oui,oui,oui,6.0,6.0,6.0,A01,A02,,,,,,,
114,12:54:31 PM,A07,,,,escalopedeporc,pommedeterre,,,,,13:22,Homme,non,>3,9.0,oui,non,oui,8.0,3.0,8.0,A06,A08,A04,,,,,,
115,12:54:51 PM,A02,,,,gnocchispestovege,,,fruit,,,13:33,Femme,oui,>3,3.0,oui,non,oui,8.0,10.0,6.0,A01,A03,,,,,,,
116,12:55:22 PM,A04,,,,escalopedeporc,pommedeterre,,tartechocolat,,,13:22,Homme,non,>3,7.0,oui,non,non,8.0,9.0,4.0,A06,A07,A08,,,,,,
117,12:55:40 PM,A01,,,,escalopedeporc,pommedeterre,,,,,13:33,Homme,non,>3,7.0,oui,non,non,8.0,8.0,5.0,A03,A03,,,,,,,
118,12:57:05 PM,A10,,,,grillades,,,,,,,,,,,,,,,,,,,,,,,,,
119,12:57:26 PM,A11,,,,grillades,,,,,,,,,,,,,,,,,,,,,,,,,
