"...1","Horodateur","Numéro de formulaire","boeufbourguignon","faux-filet","feuilletésaumonoseille","hamburger","kebab","pizzamerguezpoivrons","pizzaraclette","risottocourgettes","torsades","escalopeviennoise","frites","poeléebrocolis","ratatouille","artichauts","carottesrâpées","champignons","chouxblancàlajaponaise","coeursdepalmiers","oeufmimosa","pasdentrée","saladelentilles","saladepates","salami","tomates","banane","faissellenature","flancchocolat","fromageblancfruitsrouges","mimolette","œufàlaneige","orange","pasdedessert","pommegolden","yaourtauxfruits","yaourtnaturesucré","kiwi"
108,"13:09:21","2W9X",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,"13:09:38","6W8Z",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
110,"13:09:50","2E8L",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,"13:113:24","2U4F",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
112,"13:113:45","0S0Q",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
113,"13:12:05","0R4C",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
114,"13:12:31","6O4Y",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
115,"13:12:52","0A4U",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116,"13:13:28","6U1H",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,"13:14:12","1L0F",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
