coeff_autre_moyenne,coeff_autre_sociale_et,coeff_amis_moyenne,coeff_amis_et,influence_sociale_moyenne,influence_sociale_et,influence_env_moyenne,influence_env_et,delta_moyenne,delat_et,choix_personnel_moyenne,choix_personnel_et,proba_depassement1point,proba_manque1point,proba_depassement2points,force_perception_plat,proba_autre_entree,proba_autre_dessert,proba_encore,temps_entre_groupes,seuil_influence_etudiant_queue,Charcuterie_correction,Crudites_correction,Entree_poisson_correction,Salade_feculents_correction,Viande___correction,Pizza_correction,Accompagnement___correction,Accompagnement_correction,Viande_correction,Poisson_correction,Vege_correction,Fruit_correction,Produit_laitier_correction,Creme_dessert_correction,Fruits_gourmands_correction,Dessert_gourmand_correction,Fromage_correction,fitness
0.3,0.3,0.7,0.9,0.6,0.4,0.6,0.5,0.8,0.5,0.2,0.4,0.1,1.0,0.2,1.2,0.1,0.1,0.5,48.0,8,0.75,0.9,-0.75,0.55,-0.05,0.1,0.15,-0.05,0.55,-0.4,-0.85,0.1,0.9,0.75,-0.7,-0.35,0.4,225.0
1.0,0.8,0.3,0.1,0.7,0.7,0.0,0.6,0.8,0.1,0.3,0.5,0.3,0.2,0.9,1.5,0.3,0.9,0.4,21.0,10,-0.75,0.6,-0.9,0.5,0.75,0.65,-0.55,-0.65,0.4,0.05,-0.75,0.6,-0.35,-0.25,0.1,-0.05,0.65,288.0
0.9,0.6,0.2,1.0,0.5,0.5,0.4,0.9,0.6,0.2,0.4,0.8,0.4,0.9,0.2,2.0,1.0,1.0,0.8,44.0,4,-0.55,0.9,0.5,0.4,-0.5,0.55,0.4,0.05,0.5,-0.65,0.25,0.2,0.6,-1.0,-0.75,-0.5,0.35,244.0
0.6,0.9,0.6,0.2,0.7,0.7,0.6,0.5,0.4,0.6,0.3,0.3,0.2,0.0,0.8,1.4,0.1,0.8,0.5,27.0,6,0.15,-0.3,-0.55,-0.95,0.5,0.5,-0.05,1.0,-0.15,0.4,-0.95,0.4,-0.7,0.25,0.6,0.35,-0.15,359.0
0.3,0.9,0.1,0.8,0.6,0.2,0.3,0.5,0.6,0.3,0.7,0.9,0.3,0.7,0.4,1.4,0.2,0.9,0.1,40.0,9,-1.0,-0.1,0.85,0.05,0.4,-0.7,-0.7,0.55,-0.75,0.15,-0.9,0.8,0.7,-0.25,-0.1,0.25,0.95,301.0
0.7,0.2,0.9,0.6,0.2,0.6,0.8,0.3,0.8,0.3,0.3,0.2,0.7,0.3,0.3,0.5,0.0,0.5,0.2,20.0,2,0.3,0.45,0.55,-0.9,0.75,0.3,0.75,-0.75,0.3,0.85,-0.3,0.5,-0.7,0.35,-0.95,-0.35,0.9,293.0
0.4,0.8,0.5,0.2,0.1,0.9,0.4,0.4,0.2,0.4,0.7,0.8,1.0,0.7,0.9,1.0,0.2,0.7,1.0,59.0,9,-0.1,-0.3,0.2,0.2,-0.05,0.45,-0.15,0.8,-0.05,0.05,0.0,0.3,-0.45,0.6,0.0,-0.4,-0.2,338.0
0.7,0.9,0.7,0.7,0.5,0.7,0.9,0.9,0.9,0.9,0.0,0.3,0.3,0.9,0.8,2.0,1.0,0.0,0.0,24.0,8,0.25,0.7,-0.5,0.3,-0.8,0.7,0.95,0.65,-0.25,-0.8,-0.85,0.35,0.85,-0.25,-0.35,0.7,0.8,249.0
0.7,0.4,1.0,0.1,0.6,0.9,0.5,0.0,1.0,0.5,0.6,0.9,0.2,0.3,0.8,1.2,0.3,0.6,0.6,21.0,7,-0.75,-0.85,0.4,-0.8,0.5,0.05,0.55,-0.35,0.7,-0.3,-0.45,1.0,-0.95,0.55,0.9,-1.0,-0.2,292.0
0.6,0.5,0.9,0.3,0.2,0.9,0.2,0.7,0.6,0.0,0.7,0.7,0.9,0.6,0.7,1.7,0.2,0.2,0.3,60.0,10,-0.75,0.8,-0.6,0.95,0.6,0.3,-0.55,0.9,0.8,-0.25,-0.3,0.95,0.45,0.75,-0.3,0.0,-0.25,292.0
0.0,0.7,0.3,0.6,0.9,0.7,0.2,0.4,0.1,1.0,0.3,0.1,0.3,0.5,0.3,1.4,0.4,0.5,0.6,21.0,10,0.15,-0.35,0.95,0.15,0.7,-0.9,-0.55,-0.85,0.65,-0.75,-0.3,-0.95,0.85,0.05,-0.15,0.8,0.9,228.0
0.2,0.1,1.0,0.2,0.8,0.3,0.1,0.0,1.0,0.9,0.0,0.7,0.3,0.2,0.0,0.1,0.8,0.9,0.8,18.0,5,0.8,0.65,0.1,1.0,-0.2,0.95,-0.45,-0.3,-0.8,-0.25,-0.5,0.25,-0.5,0.1,0.65,-0.85,0.45,333.0
0.2,0.4,0.7,0.5,0.8,0.4,0.9,0.3,0.6,0.4,0.2,0.4,0.6,0.2,0.9,1.5,0.5,0.9,1.0,26.0,7,0.8,-0.35,1.0,0.65,0.15,0.4,-0.75,0.45,-0.55,0.0,-0.45,-0.8,-0.85,0.55,-0.35,0.85,-0.95,291.0
0.7,1.0,0.0,0.5,0.5,0.4,0.7,0.3,0.1,0.5,0.4,0.9,0.9,0.3,0.3,2.6,0.6,0.3,0.8,49.0,1,-0.7,0.3,-0.2,-0.05,-0.95,0.9,-0.8,0.15,0.45,-0.35,0.6,0.05,-0.6,0.45,-0.9,0.9,0.95,253.0
0.8,0.1,0.3,0.8,0.5,0.3,0.8,0.2,0.7,0.4,0.4,0.1,0.5,0.2,0.5,2.3,0.7,0.9,0.9,11.0,3,-0.65,-0.95,0.2,0.6,-0.25,-0.35,0.0,1.0,-0.35,-0.4,0.1,0.7,0.45,-0.3,-0.55,0.8,-0.3,256.0
0.3,0.0,0.2,0.0,0.9,0.5,0.4,0.1,0.1,0.3,1.0,0.7,0.6,0.6,0.9,2.8,0.1,0.2,0.2,52.0,2,0.55,0.6,-0.9,-0.6,-0.85,-0.95,0.85,0.5,-0.75,-0.7,-0.3,-0.7,0.85,-0.3,1.0,0.7,0.1,291.0
0.2,0.8,0.0,0.6,0.4,0.7,1.0,0.5,0.7,1.0,0.5,0.3,0.2,0.9,0.6,2.5,0.2,0.9,0.2,46.0,2,0.15,0.75,0.7,-0.3,0.85,0.8,0.6,0.95,-0.8,0.65,-0.2,-0.45,0.25,0.25,-1.0,-0.35,-0.4,309.0
0.3,0.2,0.4,0.3,0.9,0.1,0.4,0.1,0.6,0.7,0.7,1.0,0.0,1.0,0.3,0.5,0.2,0.4,0.7,51.0,7,0.45,-0.6,0.75,-0.1,0.4,-0.65,0.45,0.3,-0.95,0.15,0.2,-0.55,0.45,0.95,0.85,0.4,-0.1,330.0
0.4,0.0,1.0,0.5,1.0,0.3,0.0,0.4,0.4,0.4,0.9,0.9,0.5,0.3,0.6,0.5,0.1,0.8,0.4,29.0,3,0.1,0.7,0.55,1.0,-0.4,-0.75,0.6,0.5,0.25,0.65,-0.3,-0.15,-0.65,0.75,-0.4,-0.35,-0.7,355.0
0.2,0.5,0.1,0.2,0.7,0.1,0.7,0.6,0.9,0.4,0.7,0.5,0.7,0.3,0.4,0.1,0.7,1.0,0.9,42.0,8,0.05,-0.35,-0.5,0.55,0.15,-0.25,-0.95,-0.4,0.55,-0.95,-0.1,-0.55,0.85,-0.25,-0.5,0.3,0.2,257.0
0.9,0.3,0.8,0.3,0.8,0.3,0.2,0.9,0.7,0.1,0.9,0.4,0.4,0.9,0.0,1.3,0.4,0.5,0.8,56.0,6,-0.2,-0.65,-0.95,0.15,1.0,0.3,0.65,-0.65,0.65,0.9,0.9,0.15,0.3,0.35,-0.05,-0.85,-0.9,287.0
0.1,0.8,0.3,0.6,0.6,0.7,0.1,0.7,0.1,0.1,0.4,0.4,0.7,0.1,0.2,1.7,0.1,0.3,0.9,27.0,1,0.65,0.05,0.55,-0.1,-0.15,-0.15,-0.7,0.6,-0.65,0.85,-1.0,0.9,0.0,0.1,-0.45,0.75,0.0,336.0
0.1,0.1,0.4,0.7,0.6,0.7,0.0,0.8,0.6,0.3,0.4,1.0,0.9,0.5,0.6,0.4,0.5,0.3,0.1,24.0,3,-0.15,0.0,-0.1,-0.25,-0.1,0.6,0.95,0.95,-0.9,-0.6,0.25,-0.05,-0.55,-0.1,-0.05,0.2,0.95,321.0
0.1,0.0,0.3,0.5,0.9,0.4,0.7,0.8,0.4,0.6,0.3,0.3,0.5,0.3,0.3,3.0,0.1,0.1,0.9,18.0,4,0.35,0.7,0.95,-0.1,-0.75,-0.2,0.65,0.6,0.6,0.2,0.8,0.6,-0.55,-0.85,0.15,-0.95,-0.95,274.0
0.4,0.7,0.4,0.5,0.7,0.1,0.9,0.9,0.4,0.2,0.6,0.5,0.7,0.3,0.8,2.3,0.1,0.4,0.7,51.0,4,0.95,-0.65,0.9,-0.1,-0.35,-0.15,0.35,-1.0,-0.1,-0.55,-0.05,0.6,-0.05,0.9,0.85,-0.75,0.2,324.0
